timestamp,user_id,now_id,endpoint,use_case,type,ip,jwt_payload,label
2025-06-24T15:21:42.177Z,unknown,abuser1,/edit,EditContent,UPDATE,97.171.108.92,invalid,no_token
2025-06-24T15:21:42.223Z,abuser1,abuser1,/logout,Logout,AUTH,97.171.108.92,eyJ1c2VyX2lkIjoiYWJ1c2VyMSIsImlhdCI6MTc1MDc3ODUwMjIyMSwiZXhwIjoxNzUwNzc4NTA1ODIxfQ,out_of_order
2025-06-24T15:21:42.334Z,abuser2,abuser2,/browse,ViewPage,READ,128.194.38.7,eyJ1c2VyX2lkIjoiYWJ1c2VyMiIsImlhdCI6MTc1MDc3ODUwMjMzMiwiZXhwIjoxNzUwNzc4NTA1OTMyfQ,normal
2025-06-24T15:21:42.338Z,abuser2,abuser2,/logout,Logout,AUTH,128.194.38.7,eyJ1c2VyX2lkIjoiYWJ1c2VyMiIsImlhdCI6MTc1MDc3ODUwMjMzMiwiZXhwIjoxNzUwNzc4NTA1OTMyfQ,normal
2025-06-24T15:21:42.341Z,abuser2,abuser2,/edit,EditContent,UPDATE,128.194.38.7,eyJ1c2VyX2lkIjoiYWJ1c2VyMiIsImlhdCI6MTc1MDc3ODUwMjMzMiwiZXhwIjoxNzUwNzc4NTA1OTMyfQ,reuse_after_logout
2025-06-24T15:21:42.345Z,unknown,abuser2,/login,Login,AUTH,128.194.38.7,invalid,missing_user_id
2025-06-24T15:21:42.347Z,abuser2,abuser2,/admin,unknown,unknown,128.194.38.7,eyJ1c2VyX2lkIjoiYWJ1c2VyMiIsImlhdCI6MTc1MDc3ODUwMjMzMiwiZXhwIjoxNzUwNzc4NTA1OTMyfQ,invalid_endpoint
2025-06-24T15:21:42.456Z,unknown,abuser3,/edit,EditContent,UPDATE,221.6.92.245,invalid,no_token
2025-06-24T15:21:42.568Z,abuser4,abuser4,/login,Login,AUTH,40.22.39.215,eyJ1c2VyX2lkIjoiYWJ1c2VyNCIsImlhdCI6MTc1MDc3ODUwMjU3MCwiZXhwIjoxNzUwNzc4NTA2MTcwfQ,rapid_login
2025-06-24T15:21:42.631Z,abuser4,abuser4,/login,Login,AUTH,40.22.39.215,eyJ1c2VyX2lkIjoiYWJ1c2VyNCIsImlhdCI6MTc1MDc3ODUwMjYzNCwiZXhwIjoxNzUwNzc4NTA2MjM0fQ,rapid_login
2025-06-24T15:21:42.695Z,abuser4,abuser4,/login,Login,AUTH,40.22.39.215,eyJ1c2VyX2lkIjoiYWJ1c2VyNCIsImlhdCI6MTc1MDc3ODUwMjY5OCwiZXhwIjoxNzUwNzc4NTA2Mjk4fQ,rapid_login
2025-06-24T15:21:42.759Z,abuser4,abuser4,/login,Login,AUTH,40.22.39.215,eyJ1c2VyX2lkIjoiYWJ1c2VyNCIsImlhdCI6MTc1MDc3ODUwMjc2MiwiZXhwIjoxNzUwNzc4NTA2MzYyfQ,rapid_login
2025-06-24T15:21:42.821Z,abuser4,abuser4,/login,Login,AUTH,40.22.39.215,eyJ1c2VyX2lkIjoiYWJ1c2VyNCIsImlhdCI6MTc1MDc3ODUwMjgyNCwiZXhwIjoxNzUwNzc4NTA2NDI0fQ,rapid_login
